ISO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ASA,0.1425,0.1325,0.15,0.15125,0.155,0.14,0.1275,0.11375,0.085,0.065,0.045,0.03875,0.025
ASE,0.313929,0.359286,0.376429,0.406786,0.4075,0.500417,0.446071,0.456429,0.473929,0.488929,0.508571,0.511429,0.520714
AEE,0.0632143,0.0511957,0.0434375,0.0436957,0.0411458,0.0484,0.0485185,0.044375,0.0357292,0.0384091,0.0342308,0.0353704,0.0365
UMA,0.175705,0.181838,0.195391,0.196406,0.194609,0.195379,0.210938,0.207879,0.175441,0.172955,0.164191,0.170743,0.178571
EAM,0.095,0.135,0.1175,0.09,0.1175,0.265,0.265,0.2825,0.1825,0.2575,0.245,0.2775,0.215
ECM,0.245,0.245,0.2675,0.265,0.255,0.265,0.26,0.28,0.2325,0.22,0.2225,0.245,0.2425
GEM,0.1025,0.135,0.1525,0.1375,0.1425,0.15,0.1475,0.15,0.16,0.16,0.1225,0.135,0.1375
HIM,0.2,0.2175,0.2275,0.225,0.215,0.235,0.25,0.25,0.2225,0.215,0.2175,0.215,0.215
LCM,0.0225,0.0175,0.0125,0.0175,0.01,0.015,0.0125,0.0125,0.0075,0.005,0.0025,0.005,0.0075
LIM,0.04,0.0425,0.0375,0.0425,0.0475,0.06,0.065,0.05,0.0475,0.0475,0.0425,0.0425,0.045
LMM,0.065,0.0925,0.1,0.105,0.1,0.1125,0.125,0.1175,0.095,0.1,0.09,0.075,0.0475
MEM,0.1025,0.12,0.12,0.13,0.125,0.1225,0.1475,0.1525,0.185,0.1975,0.2225,0.215,0.215
NAN,0.1,0.0925,0.115,0.11,0.13,0.11,0.1075,0.09,0.0525,0.0375,0.025,0.02,0.01
SAM,0.3975,0.4275,0.465,0.5125,0.55,0.565,0.5875,0.6325,0.6675,0.6875,0.695,0.69,0.7075
SSM,0.0275,0.0275,0.0225,0.03,0.0325,0.0375,0.0375,0.03,0.0275,0.03,0.02,0.0225,0.025
UMM,0.1025,0.135,0.14,0.13,0.125,0.15,0.1475,0.165,0.155,0.16,0.14,0.135,0.17
EAE,0.49903,0.516842,0.537937,0.557362,0.566411,0.589712,0.603604,0.612188,0.606305,0.602246,0.588927,0.595555,0.600194
ECE,0.252518,0.232171,0.246215,0.266142,0.265204,0.261668,0.269105,0.260845,0.199908,0.184071,0.183812,0.210495,0.193956
GLE,0.332993,0.340722,0.361328,0.378965,0.383406,0.396265,0.404927,0.411442,0.401353,0.397562,0.393225,0.399787,0.400148
HWW,0.221241,0.207868,0.221292,0.239453,0.237366,0.231909,0.228279,0.220808,0.183443,0.166013,0.154116,0.162132,0.149603
LCE,0.0806196,0.048387,0.051236,0.0535407,0.0461043,0.0501148,0.0469994,0.0506394,0.0412525,0.0383075,0.0356213,0.0392243,0.0425487
LIW,0.151845,0.15189,0.158926,0.169352,0.179662,0.189754,0.195,0.204379,0.206443,0.215887,0.214599,0.21657,0.224438
LMW,0.318213,0.342064,0.372084,0.393411,0.400079,0.419781,0.43773,0.450008,0.449598,0.447388,0.450869,0.457141,0.461419
